-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 2 N:100
My:0.4831543,MEAN:0.4633677,MIN:0.4628906,MAX:0.4831543,Kurtosis:43.5346,Alteration:-0.020264,RANGE:0.02026367,ENERGY:21.47157,POWER:0.2147157,RMS:0.4633742,STD:0.002462676,Variance:6.064773e-06,SKEW:3.450703e-05,SLOPE : 0.01245117
Mz:0.06018066,MEAN:-0.08309687,MIN:-0.08959961,MAX:0.06018066,Kurtosis:97.27708,Alteration:-0.020264,RANGE:0.1497803,ENERGY:0.7113227,POWER:0.007113227,RMS:0.08433994,STD:0.014427,Variance:0.0002081385,SKEW:0.002038875,SLOPE : 0.1430664
-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 6 N:100
Ax:0.0670166,MEAN:-0.1157067,MIN:-0.1574707,MAX:0.0670166,Kurtosis:75.27385,Alteration:-0.1851806,RANGE:0.2244873,ENERGY:1.377431,POWER:0.01377431,RMS:0.117364,STD:0.01965346,Variance:0.0003862586,SKEW:0.003141211,SLOPE:0.1359863
Ay:-0.3044434,MEAN:-0.04007571,MIN:-0.3886719,MAX:-0.01599121,Kurtosis:52.47929,Alteration:0.2702637,RANGE:0.3726807,ENERGY:0.3563854,POWER:0.003563854,RMS:0.05969802,STD:0.04424693,Variance:0.001957791,SKEW:-0.01397211,SLOPE:0.08422852
Az:0.3220215,MEAN:0.9864493,MIN:0.3220215,MAX:0.9952393,Kurtosis:89.64265,Alteration:0.6732166,RANGE:0.6732178,ENERGY:97.77492,POWER:0.9777492,RMS:0.988812,STD:0.0683149,Variance:0.004666924,SKEW:-0.04332078,SLOPE : -0.5343018
Gx:51.30585,MEAN:-17.994,MIN:-19.76868,MAX:51.30585,Kurtosis:52.57419,Alteration:-71.07455,RANGE:71.07452,ENERGY:39096.3,POWER:390.963,RMS:19.77279,STD:8.196286,Variance:67.17911,SKEW:448.3543,SLOPE : 61.33973
Gy:-23.49213,MEAN:41.45908,MIN:-23.49213,MAX:44.84589,Kurtosis:15.96905,Alteration:68.33806,RANGE:68.33802,ENERGY:187596.8,POWER:1875.968,RMS:43.31244,STD:12.53444,Variance:157.1122,SKEW:-613.6456,SLOPE : -24.20243
Gz:59.91913,MEAN:11.84529,MIN:-8.097382,MAX:59.91913,Kurtosis:50.76205,Alteration:-47.79174,RANGE:68.01651,ENERGY:17343.3,POWER:173.433,RMS:13.1694,STD:5.755182,Variance:33.12212,SKEW:168.4084,SLOPE : 58.71537
